"","Constituency","Candidate","election","total_stops","courtesy_call","rally","interaction","official_business"
"538","Wenchi","John Mahama",2020,1,0,0,1,0
"539","Wenchi","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"540","Wenchi","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,0,2
"541","Wulensi","John Mahama",2020,1,0,0,1,0
"542","Yagaba Kubori","John Mahama",2020,1,0,0,1,0
"543","Yapei Kusawgu","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"544","Yapei Kusawgu","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"545","Yendi","John Mahama",2016,1,0,1,0,0
"546","Yendi","John Mahama",2020,2,2,0,0,0
"547","Yendi","Nana Addo Dankwa Akuffo Addo",2016,4,2,2,0,0
"548","Yendi","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"549","Yilo Krobo","John Mahama",2020,1,0,0,1,0
"550","Yilo Krobo","Nana Addo Dankwa Akuffo Addo",2020,2,0,1,0,1
"551","Yunyoo","John Mahama",2020,1,0,0,1,0
"552","Zebilla","John Mahama",2016,1,0,1,0,0
"553","Zebilla","Nana Addo Dankwa Akuffo Addo",2020,2,2,0,0,0
