"","Constituency","Candidate","election","total_stops","courtesy_call","rally","interaction","official_business"
"261","Gomoa East","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"262","Gomoa East","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,1,0
"263","Gomoa West","John Mahama",2016,1,0,1,0,0
"264","Gomoa West","John Mahama",2020,1,1,0,0,0
"265","Gomoa West","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,0,2
"266","Gushegu","John Mahama",2016,2,0,2,0,0
"267","Gushegu","John Mahama",2020,1,0,0,1,0
"268","Hermang Lower Denkyira","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"269","Ho Central","John Mahama",2020,3,0,0,1,2
"270","Ho Central","Nana Addo Dankwa Akuffo Addo",2016,1,0,0,1,0
"271","Ho Central","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,0,2
"272","Ho West","John Mahama",2020,2,1,0,1,0
"273","Ho West","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"274","Hohoe","John Mahama",2016,1,0,1,0,0
"275","Hohoe","John Mahama",2020,2,0,0,2,0
"276","Hohoe","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"277","Hohoe","Nana Addo Dankwa Akuffo Addo",2020,4,0,1,1,2
"278","Jaman North","John Mahama",2020,2,1,0,1,0
"279","Jaman South","John Mahama",2020,1,1,0,0,0
"280","Jaman South","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"281","Jirapa","John Mahama",2020,1,1,0,0,0
"282","Jomoro","John Mahama",2020,2,0,0,2,0
"283","Juaboso","John Mahama",2020,2,1,0,1,0
"284","Juaboso","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"285","Juaboso","Nana Addo Dankwa Akuffo Addo",2020,2,1,0,0,1
"286","Kade","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"287","Kassena Nankana Central","John Mahama",2016,1,0,1,0,0
"288","Keta","John Mahama",2020,1,0,0,1,0
"289","Keta","Nana Addo Dankwa Akuffo Addo",2020,3,0,0,0,3
"290","Ketu North","John Mahama",2016,2,1,1,0,0
"291","Ketu North","John Mahama",2020,2,2,0,0,0
"292","Ketu North","Nana Addo Dankwa Akuffo Addo",2020,4,1,2,0,1
"293","Ketu South","John Mahama",2016,1,0,1,0,0
"294","Ketu South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"295","Kintampo North","John Mahama",2020,1,0,0,0,1
"296","Kintampo North","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"297","Kintampo South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"298","Komenda Edina-Eguafo-Abirem","John Mahama",2016,2,1,0,1,0
"299","Komenda Edina-Eguafo-Abirem","John Mahama",2020,2,0,1,1,0
"300","Komenda Edina-Eguafo-Abirem","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"301","Komenda Edina-Eguafo-Abirem","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"302","Korle Klottey","John Mahama",2016,3,0,0,3,0
"303","Korle Klottey","John Mahama",2020,5,0,1,4,0
"304","Korle Klottey","Nana Addo Dankwa Akuffo Addo",2016,4,0,1,3,0
"305","Korle Klottey","Nana Addo Dankwa Akuffo Addo",2020,5,0,0,3,2
"306","Kpando","John Mahama",2016,1,0,0,0,1
"307","Kpando","John Mahama",2020,1,0,0,1,0
"308","Kpando","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"309","Kpone Katamanso","John Mahama",2020,2,0,1,1,0
"310","Kpone Katamanso","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"311","Krachi East","John Mahama",2020,2,2,0,0,0
"312","Krachi East","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"313","Krachi Nchumuru","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"314","Krachi Nchumuru","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"315","Krachi West","John Mahama",2020,2,1,0,1,0
"316","Krachi West","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"317","Krachi West","Nana Addo Dankwa Akuffo Addo",2020,1,1,0,0,0
"318","Krowor","John Mahama",2020,1,1,0,0,0
"319","Krowor","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"320","Krowor","Nana Addo Dankwa Akuffo Addo",2020,3,1,0,0,2
"321","Kumbungu","John Mahama",2020,1,1,0,0,0
"322","Kwabre East","John Mahama",2020,1,0,0,1,0
"323","Kwabre East","Nana Addo Dankwa Akuffo Addo",2016,2,0,1,1,0
"324","Kwadaso","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"325","Kwadaso","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,0,2
"326","Kwesimintsim","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"327","Kwesimintsim","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"328","Lambussie","John Mahama",2020,1,1,0,0,0
"329","Lambussie","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"330","Lambussie Karni","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"331","Lawra","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"332","Ledzokuku","John Mahama",2020,1,0,0,1,0
"333","Ledzokuku","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"334","Ledzokuku","Nana Addo Dankwa Akuffo Addo",2020,5,1,1,1,2
"335","Lower Manya","John Mahama",2020,1,0,0,1,0
"336","Lower Manya","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"337","Lower West Akim","John Mahama",2020,1,0,1,0,0
"338","Lower West Akim","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"339","Madina","John Mahama",2020,2,1,0,1,0
"340","Manhyia North","John Mahama",2016,1,0,0,1,0
"341","Manhyia North","John Mahama",2020,2,1,1,0,0
"342","Manhyia North","Nana Addo Dankwa Akuffo Addo",2016,2,1,1,0,0
"343","Manhyia North","Nana Addo Dankwa Akuffo Addo",2020,2,1,1,0,0
"344","Manhyia South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"345","Manhyia South","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"346","Manso Adubia","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"347","Manso Nkwanta","Nana Addo Dankwa Akuffo Addo",2020,2,0,2,0,0
"348","Mfantseman","Nana Addo Dankwa Akuffo Addo",2016,1,0,0,1,0
"349","Mfantseman","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"350","Mpohor","John Mahama",2020,2,2,0,0,0
"351","Mpohor","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"352","Mpohor","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"353","Mpraeso","John Mahama",2020,1,0,0,1,0
"354","Mpraeso","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,0,2
"355","Nabdam","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"356","Nadowli Kaleo","John Mahama",2020,1,1,0,0,0
"357","Nadowli Kaleo","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"358","Nalerigu","John Mahama",2020,2,2,0,0,0
"359","Nalerigu","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"360","Nandom","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"361","Navrongo Central","John Mahama",2020,2,0,0,2,0
"362","New Edubiase","John Mahama",2016,1,1,0,0,0
"363","New Edubiase","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"364","New Edubiase","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
